hie_PARENT_NODE_ID;parent_description;hie_NODE_ID;hie_DESCRIPTION
SUB7      ;;1049F56   ;"Air Cleaner; Triangular"
SUB7      ;;1049S7    ;Triangular Air Cleaner
SUB7      ;;1050F56   ;Oval Air Cleaners
SUB7      ;;1050S7    ;Oval Air Cleaners
SUB7      ;;1051F56   ;"Air Cleaners; Pro-Flo"
SUB7      ;;1051S7    ;Pro-Flo Air Cleaners
SUB7      ;;1052F56   ;Elite Series Round Air Cleaners
SUB7      ;;1052S7    ;Elite Series Round Air Cleaners
SUB7      ;;1053F56   ;"Air Cleaner; Elite Series Triangular"
SUB7      ;;1053S7    ;Elite Series Triangular Air Cleaner
SUB7      ;;1055F56   ;"Air Cleaners; Pro-Flo Reusable"
SUB7      ;;1055S7    ;Pro-Flo Reusable Air Cleaners
SUB7      ;;1058F56   ;"Air Cleaner; 14"" Chrome"
SUB7      ;;1058S7    ;"14"" Chrome Air Cleaner"
SUB7      ;;1060S7    ;Complete Chrome Air Cleaner
SUB7      ;;1062S7    ;Polished Aluminum Billet Air Cleaner Nut
SUB7      ;;10655A58  ;1970-72 Cowl Induction Air Cleaner
SUB7      ;;10655S7   ;1970-72 Cowl Induction Air Cleaner
SUB7      ;;10662A58  ;1970-72 Complete Cowl Induction Air Cleaner Kit
SUB7      ;;10662S7   ;1970-72 Complete Cowl Induction Air Cleaner Kit
SUB7      ;;10667A58  ;1970-72 Cowl Induction Firewall Relay
SUB7      ;;10667S7   ;1970-72 Cowl Induction Firewall Relay
SUB7      ;;10668A58  ;1970-72 Valve Frame Cage
SUB7      ;;10668S7   ;1970-72 Valve Frame Cage
SUB7      ;;10669A58  ;1970-72 Valve Frame Mounting Screws
SUB7      ;;10669S7   ;1970-72 Valve Frame Mounting Screws
SUB7      ;;10670A58  ;1970-72 Plastic Valve Frame Flapper
SUB7      ;;10670S7   ;1970-72 Plastic Valve Frame Flapper
SUB7      ;;10671A58  ;1970-72 Valve Frame Flapper Mounting Retainers
SUB7      ;;10671S7   ;1970-72 Valve Frame Flapper Mounting Retainers
SUB7      ;;10672A58  ;1970-72 Electric Solenoid
SUB7      ;;10672S7   ;1970-72 Electric Solenoid
SUB7      ;;10673A58  ;1970-72 Air Control Valve Solenoid Switch
SUB7      ;;10673S7   ;1970-72 Air Control Valve Solenoid Switch
SUB7      ;;10674A58  ;1970-72 Solenoid Switch Bracket
SUB7      ;;10674S7   ;1970-72 Solenoid Switch Bracket
SUB7      ;;10675A58  ;1970-72 Complete Valve Frame Kit
SUB7      ;;10675S7   ;1970-72 Complete Valve Frame Kit
SUB7      ;;10677A58  ;Chrome Air Cleaner Wing Nut
SUB7      ;;10677S7   ;Chrome Air Cleaner Wing Nut
SUB7      ;;10679A58  ;1970-72 Cowl Induction Air Cleaner Spacer
SUB7      ;;10679S7   ;1970-72 Cowl Induction Air Cleaner Spacer
SUB7      ;;10807A58  ;1970-72 Cowl Induction Air Cleaner
